# BUSCO version is: 5.4.3 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2024-01-08, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
535at4891	Duplicated	9122	3558	7781	+	846.5	863	https://v10-1.orthodb.org/?query=535at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
540at4891	Complete	9694	19758	24428	+	1057.9	1253	https://v10-1.orthodb.org/?query=540at4891	Nucleoporin Nup188
569at4891	Complete	9482	16915	21225	-	1094.5	840	https://v10-1.orthodb.org/?query=569at4891	DNA polymerase
578at4891	Complete	9552	11606	15676	-	899.9	984	https://v10-1.orthodb.org/?query=578at4891	WD40/YVTN repeat-like-containing domain superfamily
594at4891	Complete	9456	11866	15303	+	1921.2	972	https://v10-1.orthodb.org/?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	9546	17427	22799	-	1767.2	1265	https://v10-1.orthodb.org/?query=630at4891	Sec7, C-terminal
631at4891	Complete	8816	1608	5588	+	1692.0	930	https://v10-1.orthodb.org/?query=631at4891	P-type ATPase
652at4891	Complete	9262	6143	11230	-	864.9	894	https://v10-1.orthodb.org/?query=652at4891	Anaphase-promoting complex subunit 1
662at4891	Complete	9490	2957	8920	+	614.3	983	https://v10-1.orthodb.org/?query=662at4891	Armadillo-type fold
665at4891	Complete	9346	13077	16673	+	1622.8	980	https://v10-1.orthodb.org/?query=665at4891	Coatomer subunit alpha
676at4891	Complete	9188	3639	7265	+	1623.7	957	https://v10-1.orthodb.org/?query=676at4891	P-type ATPase
692at4891	Complete	9706	18818	23983	-	1419.1	1263	https://v10-1.orthodb.org/?query=692at4891	S1 domain
693at4891	Duplicated	9206	2109	6836	-	1035.4	878	https://v10-1.orthodb.org/?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	9370	13593	17402	+	983.5	861	https://v10-1.orthodb.org/?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	9480	6270	9620	+	1669.5	890	https://v10-1.orthodb.org/?query=695at4891	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain
707at4891	Complete	9506	12573	17459	+	261.2	342	https://v10-1.orthodb.org/?query=707at4891	SEPARIN core domain
721at4891	Complete	9344	812	4864	+	1187.4	918	https://v10-1.orthodb.org/?query=721at4891	DNA-directed RNA polymerase
722at4891	Fragmented	8862	6500	9175	-	483.9	563	https://v10-1.orthodb.org/?query=722at4891	AMP-dependent synthetase/ligase
730at4891	Complete	9168	6746	10036	-	1470.7	857	https://v10-1.orthodb.org/?query=730at4891	DNA polymerase
746at4891	Complete	9726	201	3485	-	1351.4	740	https://v10-1.orthodb.org/?query=746at4891	Histidine phosphatase superfamily
751at4891	Complete	9122	9084	12299	-	1668.9	922	https://v10-1.orthodb.org/?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	9438	14996	18244	-	1203.8	804	https://v10-1.orthodb.org/?query=811at4891	DNA-directed DNA polymerase, family A, conserved site
845at4891	Complete	9726	48234	52229	+	1332.7	1007	https://v10-1.orthodb.org/?query=845at4891	Elongator complex protein 1
863at4891	Complete	8374	591	3629	+	1632.1	851	https://v10-1.orthodb.org/?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Complete	9614	16867	20454	+	1591.3	850	https://v10-1.orthodb.org/?query=869at4891	Chromo domain
960at4891	Duplicated	8276	239	3370	+	1712.3	912	https://v10-1.orthodb.org/?query=960at4891	Elongation factor 3
960at4891	Duplicated	9636	3986	7117	+	1731.9	911	https://v10-1.orthodb.org/?query=960at4891	Elongation factor 3
962at4891	Complete	8914	5036	7909	+	1434.7	811	https://v10-1.orthodb.org/?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	9410	11956	15012	-	1253.7	757	https://v10-1.orthodb.org/?query=982at4891	Pyridoxal phosphate-dependent transferase
986at4891	Complete	9608	672	6272	+	2091.6	1394	https://v10-1.orthodb.org/?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	9510	12120	15626	-	1267.8	904	https://v10-1.orthodb.org/?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	9686	17536	21777	-	1628.6	954	https://v10-1.orthodb.org/?query=1011at4891	DNA topoisomerase, type IIA
1037at4891	Complete	9616	8568	12968	-	1327.1	927	https://v10-1.orthodb.org/?query=1037at4891	DNA polymerase
1038at4891	Complete	8456	1963	5646	+	675.7	714	https://v10-1.orthodb.org/?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	9650	11956	15135	-	1209.0	825	https://v10-1.orthodb.org/?query=1088at4891	Helicase, C-terminal
1099at4891	Complete	8710	208	3456	-	1066.6	747	https://v10-1.orthodb.org/?query=1099at4891	Glycoside hydrolase family 38, central domain
1120at4891	Complete	9334	9441	12989	+	1202.5	774	https://v10-1.orthodb.org/?query=1120at4891	Ribosome biogenesis protein Bms1, N-terminal
1180at4891	Complete	8876	4901	8584	-	1250.7	963	https://v10-1.orthodb.org/?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	9498	2502	5660	-	1651.3	869	https://v10-1.orthodb.org/?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	9650	24829	29790	+	1515.8	1203	https://v10-1.orthodb.org/?query=1220at4891	Protein kinase domain
1221at4891	Complete	8064	187	3291	+	1055.4	757	https://v10-1.orthodb.org/?query=1221at4891	FACT complex subunit Spt16 domain
1226at4891	Complete	8698	3950	7288	-	1269.0	943	https://v10-1.orthodb.org/?query=1226at4891	Importin-beta, N-terminal domain
1228at4891	Complete	9632	12716	19180	-	878.4	1197	https://v10-1.orthodb.org/?query=1228at4891	BEACH domain
1240at4891	Complete	9710	35506	39705	-	427.3	640	https://v10-1.orthodb.org/?query=1240at4891	Mediator complex subunit Med13, C-terminal
1243at4891	Complete	9638	26727	30254	-	1139.7	881	https://v10-1.orthodb.org/?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	9000	2879	6091	+	1128.5	791	https://v10-1.orthodb.org/?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Complete	9402	12709	17802	-	770.4	1015	https://v10-1.orthodb.org/?query=1283at4891	Dopey, N-terminal
1299at4891	Complete	9690	32866	36117	-	1568.5	941	https://v10-1.orthodb.org/?query=1299at4891	Exportin-1, C-terminal
1312at4891	Complete	9592	9563	13252	-	1070.8	1091	https://v10-1.orthodb.org/?query=1312at4891	SMCs flexible hinge
1341at4891	Complete	9316	2356	5388	-	754.3	632	https://v10-1.orthodb.org/?query=1341at4891	KEN domain
1344at4891	Complete	9678	29707	33039	+	483.2	520	https://v10-1.orthodb.org/?query=1344at4891	WD40/YVTN repeat-like-containing domain superfamily
1372at4891	Complete	9242	10294	13992	-	1124.1	887	https://v10-1.orthodb.org/?query=1372at4891	Nrap protein domain 1
1378at4891	Complete	9378	12140	16381	-	1330.2	819	https://v10-1.orthodb.org/?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	9670	14123	18721	+	1830.3	1150	https://v10-1.orthodb.org/?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	9664	454	4116	+	815.3	642	https://v10-1.orthodb.org/?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	9696	8646	12674	-	844.9	664	https://v10-1.orthodb.org/?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	8946	4247	7333	-	930.7	631	https://v10-1.orthodb.org/?query=1426at4891	Sulfite reductase 
1452at4891	Complete	9600	282	5201	+	1290.2	900	https://v10-1.orthodb.org/?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	9034	459	3332	-	526.8	581	https://v10-1.orthodb.org/?query=1483at4891	Ras GTPase-activating protein
1491at4891	Complete	9242	859	4050	-	1661.4	866	https://v10-1.orthodb.org/?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	9360	6122	9931	+	737.0	684	https://v10-1.orthodb.org/?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	8670	1581	6629	-	930.8	1091	https://v10-1.orthodb.org/?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	9688	9164	12271	-	928.1	768	https://v10-1.orthodb.org/?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	9658	130	3555	+	1163.7	766	https://v10-1.orthodb.org/?query=1523at4891	P-type ATPase
1529at4891	Complete	9202	7436	10885	+	1457.7	823	https://v10-1.orthodb.org/?query=1529at4891	P-type ATPase
1547at4891	Complete	9130	4349	7702	-	1104.3	737	https://v10-1.orthodb.org/?query=1547at4891	Amino acid permease/ SLC12A domain
1597at4891	Complete	9114	3218	6328	-	1141.7	707	https://v10-1.orthodb.org/?query=1597at4891	ABC transporter, conserved site
1609at4891	Complete	9352	9521	14425	+	793.9	1020	https://v10-1.orthodb.org/?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	9286	260	4795	+	1235.4	819	https://v10-1.orthodb.org/?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	9680	173	3439	+	1389.2	830	https://v10-1.orthodb.org/?query=1627at4891	Aminoacyl-tRNA synthetase, class Ia
1633at4891	Complete	8788	967	3624	+	846.4	564	https://v10-1.orthodb.org/?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	9654	17714	21160	-	274.3	558	https://v10-1.orthodb.org/?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Fragmented	9602	2166	4220	-	682.6	492	https://v10-1.orthodb.org/?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	9440	5422	8004	-	1003.6	715	https://v10-1.orthodb.org/?query=1655at4891	Importin-beta, N-terminal domain
1667at4891	Complete	9710	15268	18234	-	996.8	748	https://v10-1.orthodb.org/?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Complete	9726	22064	25924	+	1339.7	773	https://v10-1.orthodb.org/?query=1679at4891	ATP-dependent RNA helicase Ski2, C-terminal
1699at4891	Complete	8332	1885	4734	-	1197.8	683	https://v10-1.orthodb.org/?query=1699at4891	P-type ATPase
1708at4891	Complete	9452	6523	9573	+	901.5	719	https://v10-1.orthodb.org/?query=1708at4891	Alkaline phosphatase-like, alpha/beta/alpha
1760at4891	Complete	9106	3583	5907	+	1010.7	597	https://v10-1.orthodb.org/?query=1760at4891	DNA helicase
1774at4891	Complete	8614	2334	5381	-	1207.1	669	https://v10-1.orthodb.org/?query=1774at4891	DNA helicase
1803at4891	Complete	9024	3833	6700	-	1062.6	756	https://v10-1.orthodb.org/?query=1803at4891	Exportin-2, central domain
1807at4891	Complete	8214	1060	3537	+	619.3	606	https://v10-1.orthodb.org/?query=1807at4891	Nuclear pore protein
1841at4891	Complete	9350	2623	5622	+	339.4	543	https://v10-1.orthodb.org/?query=1841at4891	Mediator complex, subunit Med14
1860at4891	Complete	9484	14252	16780	+	1288.4	625	https://v10-1.orthodb.org/?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	9720	18808	23133	+	1567.6	925	https://v10-1.orthodb.org/?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	8702	616	4425	+	674.9	790	https://v10-1.orthodb.org/?query=1875at4891	Armadillo-type fold
1906at4891	Complete	8978	5590	8739	+	747.5	652	https://v10-1.orthodb.org/?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	9514	15877	18120	-	1250.0	645	https://v10-1.orthodb.org/?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	8582	2199	5072	-	1034.2	584	https://v10-1.orthodb.org/?query=1936at4891	Chitin synthase
1947at4891	Complete	9716	17129	20164	+	1466.5	903	https://v10-1.orthodb.org/?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	9564	3813	6359	+	435.8	441	https://v10-1.orthodb.org/?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	9724	42501	46928	+	602.2	430	https://v10-1.orthodb.org/?query=1979at4891	Protein kinase domain
2008at4891	Complete	8678	953	4510	+	454.7	670	https://v10-1.orthodb.org/?query=2008at4891	Tfc3, extended winged-helix domain
2010at4891	Complete	9368	14748	17348	+	1221.6	652	https://v10-1.orthodb.org/?query=2010at4891	DNA helicase
2020at4891	Complete	9104	201	3419	+	1544.1	866	https://v10-1.orthodb.org/?query=2020at4891	ATP-dependent RNA helicase Ski2, C-terminal
2040at4891	Complete	9610	17751	21617	+	531.5	727	https://v10-1.orthodb.org/?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	9664	14395	17661	-	1152.9	879	https://v10-1.orthodb.org/?query=2048at4891	Armadillo-type fold
2052at4891	Complete	9668	8663	12541	-	1141.1	939	https://v10-1.orthodb.org/?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	8832	346	2712	+	1181.5	633	https://v10-1.orthodb.org/?query=2053at4891	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
2138at4891	Complete	9208	5582	9313	-	585.9	498	https://v10-1.orthodb.org/?query=2138at4891	Sla1
2161at4891	Complete	9196	7652	10519	+	1042.9	694	https://v10-1.orthodb.org/?query=2161at4891	Splicing factor 3B subunit 1-like
2166at4891	Complete	9662	11117	13411	+	1281.9	678	https://v10-1.orthodb.org/?query=2166at4891	Cobalamin-independent methionine synthase
2167at4891	Complete	8726	4695	7571	-	1360.0	746	https://v10-1.orthodb.org/?query=2167at4891	ATP-dependent 6-phosphofructokinase
2171at4891	Complete	8770	4624	7602	+	721.8	637	https://v10-1.orthodb.org/?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	9348	8753	11653	-	1183.0	750	https://v10-1.orthodb.org/?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	8860	1898	4609	+	1335.6	760	https://v10-1.orthodb.org/?query=2193at4891	Clp, N-terminal
2203at4891	Complete	9672	20074	22488	+	1071.9	635	https://v10-1.orthodb.org/?query=2203at4891	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
2212at4891	Complete	8480	3440	5710	-	932.0	566	https://v10-1.orthodb.org/?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	9566	21823	24147	+	1362.6	664	https://v10-1.orthodb.org/?query=2307at4891	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
2368at4891	Complete	9726	3865	6666	+	1000.2	756	https://v10-1.orthodb.org/?query=2368at4891	WD40 repeat
2373at4891	Complete	9652	9845	11956	-	673.4	431	https://v10-1.orthodb.org/?query=2373at4891	POLO box domain
2385at4891	Complete	9368	11413	14397	+	1043.0	739	https://v10-1.orthodb.org/?query=2385at4891	Lon protease
2413at4891	Complete	8868	6377	9133	-	531.6	406	https://v10-1.orthodb.org/?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	9572	3417	6815	+	824.6	715	https://v10-1.orthodb.org/?query=2421at4891	Ubiquitin specific protease, conserved site
2432at4891	Complete	8794	4628	7420	+	1189.1	636	https://v10-1.orthodb.org/?query=2432at4891	DNA helicase
2446at4891	Complete	8296	73	4833	-	648.1	761	https://v10-1.orthodb.org/?query=2446at4891	Autophagy-related, C-terminal
2456at4891	Complete	9388	8422	11754	-	821.3	524	https://v10-1.orthodb.org/?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	8678	4615	7329	-	460.3	677	https://v10-1.orthodb.org/?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Fragmented	8080	2318	3817	+	793.8	416	https://v10-1.orthodb.org/?query=2471at4891	PDZ domain
2483at4891	Complete	9582	8710	11055	-	1010.7	660	https://v10-1.orthodb.org/?query=2483at4891	Phosphoribosyl-AMP cyclohydrolase domain
2485at4891	Complete	8468	228	2921	+	1052.5	588	https://v10-1.orthodb.org/?query=2485at4891	SNF2-related, N-terminal domain
2499at4891	Complete	9674	16904	19615	-	1038.3	708	https://v10-1.orthodb.org/?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	7968	95	2848	-	713.2	630	https://v10-1.orthodb.org/?query=2515at4891	Armadillo-type fold
2531at4891	Complete	8886	5013	7346	-	922.8	503	https://v10-1.orthodb.org/?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	9198	6736	10866	-	964.5	612	https://v10-1.orthodb.org/?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	9664	18431	20866	-	571.5	560	https://v10-1.orthodb.org/?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	9698	26128	29043	-	378.8	554	https://v10-1.orthodb.org/?query=2543at4891	Mediator complex, subunit Med16
2548at4891	Complete	8238	306	4502	+	812.8	756	https://v10-1.orthodb.org/?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	9624	472	5133	-	1505.5	1008	https://v10-1.orthodb.org/?query=2549at4891	WD40 repeat
2564at4891	Complete	9586	3311	6541	+	797.9	682	https://v10-1.orthodb.org/?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	8290	178	4146	-	750.1	656	https://v10-1.orthodb.org/?query=2565at4891	Bromodomain
2568at4891	Complete	9248	1987	5412	+	892.2	737	https://v10-1.orthodb.org/?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	9186	8547	11489	+	1341.4	736	https://v10-1.orthodb.org/?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	8562	2537	6352	+	1519.8	854	https://v10-1.orthodb.org/?query=2618at4891	SH3 domain
2618at4891	Duplicated	9354	2830	6486	+	1548.3	859	https://v10-1.orthodb.org/?query=2618at4891	SH3 domain
2630at4891	Complete	9390	2655	7010	+	899.8	897	https://v10-1.orthodb.org/?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	8998	8116	10485	-	1011.7	537	https://v10-1.orthodb.org/?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	9726	45062	47455	-	650.9	520	https://v10-1.orthodb.org/?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	9106	9187	11523	-	887.8	536	https://v10-1.orthodb.org/?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Complete	9474	16970	19153	-	1161.8	589	https://v10-1.orthodb.org/?query=2724at4891	Aminoacyl-tRNA synthetase, class II
2754at4891	Complete	9416	2095	4236	+	654.4	543	https://v10-1.orthodb.org/?query=2754at4891	Translation initiation factor, beta propellor-like domain
2784at4891	Complete	9430	11234	13351	+	1134.1	586	https://v10-1.orthodb.org/?query=2784at4891	Tryptophan synthase
2793at4891	Complete	9430	13728	16121	+	753.1	591	https://v10-1.orthodb.org/?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	9350	7151	9382	+	1127.4	599	https://v10-1.orthodb.org/?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Complete	9676	28964	31411	-	822.1	602	https://v10-1.orthodb.org/?query=2851at4891	WD40-repeat-containing domain
2862at4891	Complete	9700	3872	6376	-	1409.7	695	https://v10-1.orthodb.org/?query=2862at4891	ATPase, AAA-type, conserved site
2893at4891	Complete	9524	6736	11079	+	1212.6	846	https://v10-1.orthodb.org/?query=2893at4891	P-type ATPase
2898at4891	Complete	9212	3781	6363	+	1083.4	636	https://v10-1.orthodb.org/?query=2898at4891	N-acetyl-gamma-glutamyl-phosphate reductase, active site
2905at4891	Complete	9682	3954	7373	+	388.2	494	https://v10-1.orthodb.org/?query=2905at4891	Timeless protein
2915at4891	Complete	8914	380	4327	-	683.7	899	https://v10-1.orthodb.org/?query=2915at4891	UDP-glucose:Glycoprotein Glucosyltransferase
2926at4891	Complete	9724	26646	28994	+	769.0	604	https://v10-1.orthodb.org/?query=2926at4891	Transcription factor, GTP-binding domain
2971at4891	Complete	9132	5293	7725	-	1111.5	620	https://v10-1.orthodb.org/?query=2971at4891	ClpA/B, conserved site 1
2976at4891	Complete	9430	5212	7329	-	1091.3	585	https://v10-1.orthodb.org/?query=2976at4891	Oligosaccharyl transferase, STT3 subunit
2990at4891	Complete	9540	12943	17058	+	436.3	603	https://v10-1.orthodb.org/?query=2990at4891	Zinc finger, PHD-type
2994at4891	Complete	9606	15717	18500	-	755.0	658	https://v10-1.orthodb.org/?query=2994at4891	Condensin complex subunit 3
3032at4891	Complete	9392	1209	3389	+	975.5	586	https://v10-1.orthodb.org/?query=3032at4891	Squalene cyclase
3044at4891	Complete	9418	1089	4097	+	363.4	408	https://v10-1.orthodb.org/?query=3044at4891	Mad3/Bub1 homology region 1
3049at4891	Complete	9128	260	2794	-	1022.7	629	https://v10-1.orthodb.org/?query=3049at4891	DNA replication licensing factor MCM7
3050at4891	Complete	8956	290	5010	+	1094.2	564	https://v10-1.orthodb.org/?query=3050at4891	Methionyl-tRNA synthetase
3060at4891	Complete	9618	271	3099	-	1120.7	762	https://v10-1.orthodb.org/?query=3060at4891	WD40 repeat
3088at4891	Complete	9392	8304	10445	+	1137.5	597	https://v10-1.orthodb.org/?query=3088at4891	Carbon-nitrogen hydrolase
3096at4891	Complete	9468	12599	15712	+	469.6	547	https://v10-1.orthodb.org/?query=3096at4891	Sec8 exocyst complex component specific domain
3141at4891	Complete	8924	837	3617	-	648.4	534	https://v10-1.orthodb.org/?query=3141at4891	Transcription elongation factor SPT5
3174at4891	Complete	9272	5206	9138	-	526.7	695	https://v10-1.orthodb.org/?query=3174at4891	WD40/YVTN repeat-like-containing domain superfamily
3190at4891	Complete	9668	26332	29832	-	260.4	444	https://v10-1.orthodb.org/?query=3190at4891	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
3223at4891	Complete	9684	7222	9909	+	341.3	519	https://v10-1.orthodb.org/?query=3223at4891	WD40-repeat-containing domain
3246at4891	Complete	8940	1835	5164	+	1316.9	806	https://v10-1.orthodb.org/?query=3246at4891	Ribosomal protein S5 domain 2-type fold
3287at4891	Complete	9426	14680	17541	-	996.9	689	https://v10-1.orthodb.org/?query=3287at4891	Glycoside hydrolase family 31
3292at4891	Complete	9450	17466	19691	-	662.9	472	https://v10-1.orthodb.org/?query=3292at4891	TRP, C-terminal
3316at4891	Complete	9668	13505	16684	+	1104.5	820	https://v10-1.orthodb.org/?query=3316at4891	SNF2-related, N-terminal domain
3320at4891	Complete	9258	10570	14373	-	961.9	989	https://v10-1.orthodb.org/?query=3320at4891	CLU domain
